Company_Brand,Founded,HeadQuarter,Sector,What_it_does,Founders,Investor,Amount,Stage,Fund_Year,Sector_Group
Locus,2015,Bangalore,Logistics,locus is an intelligent decision-making and automation platform for logistics.,"Geet Garg, Nishith Rastogi","Blume Ventures, Exfinity Venture Partners",50000000.0,Series C,2021,Logistics & Transportation
Crejo.Fun,2020,Bangalore,EdTech,crejo.fun is a digital extracurricular learning platform being built with an intent to help children discover their passions and interests through creative learning.,Vikas Bansal,"Matrix Partners India, 021 Capital",3000000.0,Seed,2021,Education
Bambinos,2020,Bangalore,EdTech,cohort based extracurricular course for kids,"Ashish Gupta, Ankit Hetamsaria","Hnis, Angels",500000.0,Seed,2021,Education
Kreditbee,2018,Bangalore,FinTech,kreditbee is a digital lending platform developed to assist young professionals with their personal finances.,"Karthikeyan Krishnaswamy, Madhusudan Ekambaram, Wan Hong","Newquest Capital Partners, Motilal Oswal Private Equity",8000000.0,Unknown,2021,Finance & FinTech
Spardha,2016,Pune,EdTech,"spardha school of music, spardha academy, spardha online are associated marks with spardha learnings private limited.","Saurabh Srivastav, Amrita Srivastav",Inflection Point Ventures,400000.0,Pre-Series A,2021,Education
Onelife Nutriscience,2019,Mumbai,HealthCare,onelife nutriscience is a consumer healthcare brands company.,Gaurav Aggarwal,Lasons India,0.0,Unknown,2021,Health & Life Sciences
Flatheads,2019,Bangalore,Fashion,flatheads is a lifestyle brand that designs and creates shoes from india for the world. flatheads launched india's first bamboo footwear.,"Ganesh Balakrishnan, Utkarsh Biradar","Pankaj Chaddah, Srivatsan Rajan",0.0,Unknown,2021,Fashion & Lifestyle
Fable Fintech,2015,Mumbai,FinTech,"fable fintech is being seed-funded by the ccavenue group, south east asia’s number 1 ecommerce service provider",Naushad Contractor,Paytm,0.0,Series A,2021,Finance & FinTech
Holisol,2009,New Delhi,Logistics,holisol logistics is a supply chain operations company!,"Manish Ahuja, Naveen Rawat, Rahul Dogar","Blacksoil, Clsa Capital Partners",3000000.0,Unknown,2021,Logistics & Transportation
Now&Me,2018,New Delhi,HealthCare,"now&me is a safe cocoon in the form of discussion forums, for you to let out your most intimate thoughts.","Bani Singh, Drishti Gupta","Saama, Whiteboard Capital",1000000.0,Unknown,2021,Health & Life Sciences
Fyllo,2019,Bangalore,AgriTech,fyllo brings farms on palms by installing on field devices and actions on top of this data.,"Sudhanshu Rai, Sumit Sheoran","Indian Angel Network, Titan Capital, Lead Angels",400000.0,Seed,2021,Information Technology
Cora Health,2020,Bangalore,HealthCare,social commerce marketplace for health and wellness. help people discover products suited to their health needs.,"Shrijit Venkatesh, Snigdha Kumar",Undisclosed,0.0,Unknown,2021,Health & Life Sciences
Blaer Motors,2014,Chennai,Mobility,meant to augment human power and not completely replace it,Abinesh Ekambaram,The Chennai Angels,300000.0,Unknown,2021,Information Technology
Swiflearn,2019,Gurgaon,EdTech,swiflearn provides online tuition classes to small batches to ensure personalised learning.,"Abhinav Agarwal, Anand Bakode","Venture Highway, Stellaris Venture Partners",3000000.0,Pre-Series A,2021,Education
Cashfree,2015,Bangalore,FinTech,cashfree is a payments and banking technology company that enables businesses in india to collect payments online and make payouts.,"Akash Sinha, Reeju Datta","State Bank Of India, Y Combinator",0.0,Unknown,2021,Finance & FinTech
Quicksell,2017,Mumbai,E-commerce,b2b mobile commerce platform,Deepak Bhagchandani,"Sanjay Baldwa, Ajay Jain",2000000.0,Pre-Series A,2021,Retail & E-Commerce
Truemeds,2019,Mumbai,Heathcare,truemeds is a health-tech startup.,"Akshat Nayyar, Kunal Wani",Infoedge,5000000.0,Series A,2021,Other
Candes,2015,New Delhi,E-commerce,candes is a home appliances company providing a complete range of home & kitchen electrical appliances at affordable prices.,"Sandeep Aggarwal, Vipin Aggarwal","Nitin Passi, Ruchirans Jaipuria",3000000.0,Unknown,2021,Retail & E-Commerce
Medibuddy,2000,Bangalore,Heathcare,"medibuddy is a digital healthcare platform for inpatient hospitalization, outpatient services, and corporate wellness benefits.","Satish Kannan, Enbasekar","Stride Ventures, Innoven Capital",3000000.0,Unknown,2021,Other
F5,2018,New Delhi,Food & Beverages,f5 is a foods and beverages company.,"Lalit Aggarwal, Raghav Arora","Venture Catalysts, Jeevak Gupta",300000.0,Pre-Series A,2021,Food & Beverage
Capital Float,2013,Bangalore,FinTech,capital float is an online platform that provides working capital finance to smes in india.,"Gaurav Hinduja, Sashank Rishyasringa","Triodos Investment Management, Saif Partners",6000000.0,Unknown,2021,Finance & FinTech
Intellewings,2019,Panchkula,IT startup,"intellewings develops sanctions & anti-money laundering solutions with a clear, concise, and fresh perspective.",Pramod Sharma,Undisclosed,100000.0,Seed,2021,Information Technology
Shyplite,2016,New Delhi,Logistics,enable e-retailers to automate their logistics and increase efficiency in shipments by providing a single window shipping platform,"Nisschal Jain,  Sugam Jain, Parinay Itkan",N+1 Capital,1000000.0,Unknown,2021,Logistics & Transportation
Refyne,2020,Bangalore,FinTech,refyne partners with organisations to extend on-demand earned wage access (ewa) to employees.,"Chitresh Sharma, Apoorv Kumar","Dst Global, Rtp Global",20000000.0,Series A,2021,Finance & FinTech
Greenjoules,2018,Pune,Renewable Energy,greenjoules is a green energy technology startup that specializes in making renewable biofuels.,"R. Sethunath, V S Shridhar, V. Radhika, Viraraghavan Sankaran",Blue Ashva Capital,4500000.0,Series A,2021,Environmental & Sustainability
